OBJECTID,Place,Day,Date_of_Exposure,Time_of_Exposure,Address,Zone,Last_Updated,Exposure_area,Geolocation_Address,longitude,latitude,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area
0,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:59,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,1,0.006905208,3.62e-06
1,The Tall and Small Café,Wed,12/08/2021, 11:30 to 13:30,342 Main St.- Antigonish,Eastern,12/11/2021 - 00:51,The Tall and Small Café,The Tall and Small Café - 342 Main St.- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005,0.1,2,0.006905377,3.62e-06
2,Edna,Wed,12/08/2021, 11:30 to 13:30,2053 Gottingen St.- Halifax,Central,12/11/2021 - 00:11,Edna,Edna - 2053 Gottingen St.- Halifax- Nova Scotia- Canada,-63.58238449,44.65136519,0.1,3,0.006832729,3.56e-06
3,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:58,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,4,0.006905208,3.62e-06
4,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:57,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,5,0.006905208,3.62e-06
5,Salvatore’s Pizzaiolo Trattoria,Wed,12/08/2021, 11:30 to 13:30,5541 Young Street- Halifax,Central,12/10/2021 - 09:02,Salvatore’s Pizzaiolo Trattoria,Salvatore’s Pizzaiolo Trattoria - 5541 Young Street- Halifax- Nova Scotia- Canada,-63.59942005,44.66188004,0.1,6,0.006833494,3.56e-06
6,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,,Eastern,12/10/2021 - 23:41,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,7,0.006905208,3.62e-06
7,Hotel Marriot Halifax,Wed,12/08/2021, 11:30 to 13:30,Breakfast area (1919 Upper Water St.- Halifax),Central,12/11/2021 - 00:43,Hotel Marriot Halifax,Hotel Marriot Halifax - Breakfast area (1919 Upper Water St.- Halifax)- Nova Scotia- Canada,-63.57459615,44.65107367,0.1,8,0.006832707,3.56e-06
8,Antojo Taco + Tequila,Wed,12/08/2021, 11:30 to 13:30,1667 Argyle St.- Halifax,Central,12/11/2021 - 00:46,Antojo Taco + Tequila,Antojo Taco + Tequila - 1667 Argyle St.- Halifax- Nova Scotia- Canada,-63.57451992,44.64660008,0.1,9,0.006832382,3.56e-06
9,Two Doors Down,Wed,12/08/2021, 11:30 to 13:30,1533 Barrington St.- Halifax,Central,12/11/2021 - 00:42,Two Doors Down,Two Doors Down - 1533 Barrington St.- Halifax- Nova Scotia- Canada,-63.5728095,44.64483691,0.1,10,0.006832254,3.56e-06
10,CrossFit Actuate,Wed,12/08/2021, 11:30 to 13:30,1644 Brierly Brook Rd.- Antigonish,Eastern,12/11/2021 - 00:00,CrossFit Actuate,CrossFit Actuate - 1644 Brierly Brook Rd.- Antigonish- Nova Scotia- Canada,-62.02762694,45.62691257,0.1,11,0.006905732,3.62e-06
11,St. Mary’s University,Wed,12/08/2021, 11:30 to 13:30,Patrick Power Library (5946 Inglis St.- Halifax),Central,12/11/2021 - 00:43,St. Mary’s University,St. Mary’s University - Patrick Power Library (5946 Inglis St.- Halifax)- Nova Scotia- Canada,-63.58138252,44.63303819,0.1,12,0.006831395,3.56e-06
12,Tall and Small Cafe,Wed,12/08/2021, 11:30 to 13:30,342 Main Street- Antigonish,Eastern,12/09/2021 - 21:38,Tall and Small Cafe,Tall and Small Cafe - 342 Main Street- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005,0.1,13,0.006905377,3.62e-06
13,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Bloomfield Campus (Dining Hall),Eastern,12/10/2021 - 23:21,St. Francis Xavier University,St. Francis Xavier University - Bloomfield Campus (Dining Hall)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,14,0.006905208,3.62e-06
14,St Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Angus L. Macdonald Library,Eastern,12/08/2021 - 22:28,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,15,0.006905208,3.62e-06
15,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,,Eastern,12/10/2021 - 23:37,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,16,0.006905208,3.62e-06
16,GoodLife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/10/2021 - 23:34,GoodLife Fitness,GoodLife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,17,0.00690532,3.62e-06
17,Hotel Marriot Halifax,Wed,12/08/2021, 11:30 to 13:30,Breakfast area (1919 Upper Water St.- Halifax),Central,12/11/2021 - 00:45,Hotel Marriot Halifax,Hotel Marriot Halifax - Breakfast area (1919 Upper Water St.- Halifax)- Nova Scotia- Canada,-63.57459615,44.65107367,0.1,18,0.006832707,3.56e-06
18,GoodLife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/10/2021 - 23:32,GoodLife Fitness,GoodLife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,19,0.00690532,3.62e-06
19,The Lower Deck,Wed,12/08/2021, 11:30 to 13:30,1887 Upper Water Street- Halifax,Central,12/08/2021 - 22:35,The Lower Deck,The Lower Deck - 1887 Upper Water Street- Halifax- Nova Scotia- Canada,-63.57377,44.65031008,0.1,20,0.006832652,3.56e-06
20,Lower Deck Bar,Wed,12/08/2021, 11:30 to 13:30,1887 Upper Water St.- Halifax,Central,12/10/2021 - 23:24,Lower Deck Bar,Lower Deck Bar - 1887 Upper Water St.- Halifax- Nova Scotia- Canada,-63.57377,44.65031008,0.1,21,0.006832652,3.56e-06
21,Mizu All You Can Eat,Wed,12/08/2021, 11:30 to 13:30,644 Portland St.- Dartmouth,Central,12/06/2021 - 18:45,Mizu All You Can Eat,Mizu All You Can Eat - 644 Portland St.- Dartmouth- Nova Scotia- Canada,-63.52602465,44.67164282,0.1,22,0.006834206,3.56e-06
22,Highland Curling Club,Wed,12/08/2021, 11:30 to 13:30,3916 NS-316- Saint Andrews,Eastern,12/09/2021 - 21:10,Highland Curling Club,Highland Curling Club - 3916 NS-316- Saint Andrews- Nova Scotia- Canada,-61.89011882,45.55901214,0.1,23,0.006900521,3.62e-06
23,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,First Floor Computer Lab,Eastern,12/09/2021 - 21:38,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - First Floor Computer Lab- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,24,0.006916521,3.63e-06
24,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Hall (dining hall),Eastern,12/08/2021 - 22:12,St. Francis Xavier University,St. Francis Xavier University - Morrison Hall (dining hall)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,25,0.006905208,3.62e-06
25,Main Street Café - Maritime Inn Restaurant,Wed,12/08/2021, 11:30 to 13:30,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:35,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673,0.1,26,0.006905451999999999,3.62e-06
26,Coldstream Clear Distillery,Wed,12/08/2021, 11:30 to 13:30,25 James St.- Antigonish,Eastern,12/08/2021 - 22:44,Coldstream Clear Distillery,Coldstream Clear Distillery - 25 James St.- Antigonish- Nova Scotia- Canada,-62.00212064,45.61565332,0.1,27,0.006904866999999999,3.62e-06
27,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,133 Church St.- Antigonish,Eastern,12/10/2021 - 23:27,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557,0.1,28,0.00690486,3.62e-06
28,Shubie Park,Wed,12/08/2021, 11:30 to 13:30,Christmas Tree Lighting Event (54 Locks Road- Dartmouth),Central,12/09/2021 - 21:24,Shubie Park,Shubie Park - Christmas Tree Lighting Event (54 Locks Road- Dartmouth)- Nova Scotia- Canada,-63.55311656,44.70174525,0.1,29,0.006836401999999999,3.56e-06
29,Canadian Tire,Wed,12/08/2021, 11:30 to 13:30,133 Church St.- Antigonish,Eastern,12/09/2021 - 21:44,Canadian Tire,Canadian Tire - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98589000000001,45.61635,0.1,30,0.00690492,3.62e-06
30,St. Francis Xavier University - Student Union Building,Wed,12/08/2021, 11:30 to 13:30,Fourth floor,Eastern,12/09/2021 - 22:20,St. Francis Xavier University - Student Union Building,St. Francis Xavier University - Student Union Building - Fourth floor- Nova Scotia- Canada,-63.11974,45.38673,0.1,31,0.006887385,3.6000000000000003e-06
31,Little Cristo s,Wed,12/08/2021, 11:30 to 13:30,332 Main St.- Antigonish,Eastern,12/08/2021 - 22:46,Little Cristo s,Little Cristo s - 332 Main St.- Antigonish- Nova Scotia- Canada,-61.99234004,45.62251003,0.1,32,0.0069053940000000005,3.62e-06
32,Townhouse Restaurant,Wed,12/08/2021, 11:30 to 13:30,76 College St.- Antigonish,Eastern,12/11/2021 - 00:46,Townhouse Restaurant,Townhouse Restaurant - 76 College St.- Antigonish- Nova Scotia- Canada,-61.99147579,45.62269354,0.1,33,0.006905408,3.62e-06
33,Snappy Tomato Pizza,Wed,12/08/2021, 11:30 to 13:30,38 James St.- Antigonish,Eastern,12/11/2021 - 00:49,Snappy Tomato Pizza,Snappy Tomato Pizza - 38 James St.- Antigonish- Nova Scotia- Canada,-62.00231002,45.61563006,0.1,34,0.006904864,3.62e-06
34,Miller s Restaurant,Wed,12/08/2021, 11:30 to 13:30,717 Reeves St.- Port Hawkesbury,Eastern,12/09/2021 - 21:42,Miller s Restaurant,Miller s Restaurant - 717 Reeves St.- Port Hawkesbury- Nova Scotia- Canada,-61.35077904,45.61448325,0.1,35,0.006904777,3.62e-06
35,Cole Harbour High School Gym,Wed,12/08/2021, 11:30 to 13:30,Metro Basketball Association (2 Chameau Crescent- Dartmouth),Central,12/08/2021 - 22:33,Cole Harbour High School Gym,Cole Harbour High School Gym - Metro Basketball Association (2 Chameau Crescent- Dartmouth)- Nova Scotia- Canada,-63.49053996,44.68135005,0.1,36,0.006834914,3.56e-06
