OBJECTID,Place,Day,Date of Exposure,Time of Exposure,Address,Zone,Last Updated,Exposure area,Geolocation Address,longitude,latitude
0,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:59,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995
1,The Tall and Small Café,Wed,12/08/2021, 09:30 to 11:30,342 Main St.- Antigonish,Eastern,12/11/2021 - 00:51,The Tall and Small Café,The Tall and Small Café - 342 Main St.- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005
2,Edna,Tue,12/07/2021, 18:30 to 23:00,2053 Gottingen St.- Halifax,Central,12/11/2021 - 00:11,Edna,Edna - 2053 Gottingen St.- Halifax- Nova Scotia- Canada,-63.58238449,44.65136519
3,St. Francis Xavier University,Tue,12/07/2021, 17:30 to 19:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:58,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995
4,St. Francis Xavier University,Tue,12/07/2021, 12:00 to 14:00,Morrison Dining Hall,Eastern,12/10/2021 - 23:57,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995
5,Salvatore’s Pizzaiolo Trattoria,Tue,12/07/2021, 12:00 to 13:30,5541 Young Street- Halifax,Central,12/10/2021 - 09:02,Salvatore’s Pizzaiolo Trattoria,Salvatore’s Pizzaiolo Trattoria - 5541 Young Street- Halifax- Nova Scotia- Canada,-63.59942005,44.66188004
6,St. Francis Xavier University – Angus L. Macdonald Library,Tue,12/07/2021, 11:00 to 23:30,,Eastern,12/10/2021 - 23:41,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995
7,Hotel Marriot Halifax,Tue,12/07/2021, 07:15 to 09:00,Breakfast area (1919 Upper Water St.- Halifax),Central,12/11/2021 - 00:43,Hotel Marriot Halifax,Hotel Marriot Halifax - Breakfast area (1919 Upper Water St.- Halifax)- Nova Scotia- Canada,-63.57459615,44.65107367
8,Antojo Taco + Tequila,Mon,12/06/2021, 20:00 to 22:30,1667 Argyle St.- Halifax,Central,12/11/2021 - 00:46,Antojo Taco + Tequila,Antojo Taco + Tequila - 1667 Argyle St.- Halifax- Nova Scotia- Canada,-63.57451992,44.64660008
9,Two Doors Down,Mon,12/06/2021, 17:30 to 21:00,1533 Barrington St.- Halifax,Central,12/11/2021 - 00:42,Two Doors Down,Two Doors Down - 1533 Barrington St.- Halifax- Nova Scotia- Canada,-63.5728095,44.64483691
10,CrossFit Actuate,Mon,12/06/2021, 17:00 to 19:00,1644 Brierly Brook Rd.- Antigonish,Eastern,12/11/2021 - 00:00,CrossFit Actuate,CrossFit Actuate - 1644 Brierly Brook Rd.- Antigonish- Nova Scotia- Canada,-62.02762694,45.62691257
11,St. Mary’s University,Mon,12/06/2021, 15:30 to 20:30,Patrick Power Library (5946 Inglis St.- Halifax),Central,12/11/2021 - 00:43,St. Mary’s University,St. Mary’s University - Patrick Power Library (5946 Inglis St.- Halifax)- Nova Scotia- Canada,-63.58138252,44.63303819
12,Tall and Small Cafe,Mon,12/06/2021, 12:30 to 15:30,342 Main Street- Antigonish,Eastern,12/09/2021 - 21:38,Tall and Small Cafe,Tall and Small Cafe - 342 Main Street- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005
13,St. Francis Xavier University,Mon,12/06/2021, 11:45 to 13:45,Bloomfield Campus (Dining Hall),Eastern,12/10/2021 - 23:21,St. Francis Xavier University,St. Francis Xavier University - Bloomfield Campus (Dining Hall)- Nova Scotia- Canada,-61.99718992,45.62007995
14,St Francis Xavier University,Mon,12/06/2021, 10:00 to 17:00,Angus L. Macdonald Library,Eastern,12/08/2021 - 22:28,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library- Nova Scotia- Canada,-61.99718992,45.62007995
15,St. Francis Xavier University – Angus L. Macdonald Library,Mon,12/06/2021, 10:00 to 17:30,,Eastern,12/10/2021 - 23:37,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995
