index,facility_name,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,CSDname,CSDuid,Pruid,latitude,longitude
0,Aberdeen Hospital - New Glasgow,Hospitals,Public Health Agency of Canada,835,east river rd,B2H 3S6,new glasgow,ns,New Glasgow,1212014,12,45.573042,-62.642895
1,Alderwood,Nursing and residential care facilities,Province of Nova Scotia,89,alderewood lane,B0E 1B0,baddeck,ns,Victoria - Subd. B,1218001,12,46.09560382,-60.7655569
2,All Saints Springhill Hospital,Hospitals,Public Health Agency of Canada,10,princess st,B0M 1X0,springhill,ns,Cumberland - Subd. B,1211006,12,45.65028,-64.0501
3,Annapolis Community Health Centre,Hospitals,Public Health Agency of Canada,821,st george st,B0S 1A0,annapolis royal,ns,Annapolis Royal,1205008,12,44.7366188,-65.5018643
4,Annapolis Royal Nursing Home Limited,Nursing and residential care facilities,Province of Nova Scotia,9745,highway 8,B0S 1A0,annapolis royal,ns,Annapolis - Subd. A,1205004,12,44.73538941,-65.50017693
5,Arborstone Enhanced Care,Nursing and residential care facilities,Province of Nova Scotia,126,purcells cove rd,B3P 1B5,halifax,ns,Halifax,1209034,12,44.6328756,-63.60822714
6,AU LOGIS D METEGHAN LTD.,Nursing and residential care facilities,Province of Nova Scotia,8405,highway 1,B0W 2J0,meteghan,ns,Clare,1203001,12,44.19395069,-66.1529628
7,Bay Side Home Corporation,Nursing and residential care facilities,Province of Nova Scotia,96,bayside drive,B0W 1E0,barrington,ns,Barrington,1201001,12,43.54844926,-65.59817351
8,Bayview Memorial Health Centre,Nursing and residential care facilities,Province of Nova Scotia,3375,highway 209,B0M 1A0,advocate harbour,ns,Cumberland - Subd. A,1211001,12,45.3462119,-64.79483503
9,Bissett Court,Nursing and residential care facilities,Province of Nova Scotia,74,chameau crescent,B2W 0H5,cole harbour,ns,Halifax,1209034,12,44.67789912,-63.49031476
10,Blomidon Court,Nursing and residential care facilities,Province of Nova Scotia,58,jessicas way,B4P 0B2,greenwich,ns,Kings - Subd. D,1207021,12,45.07640112,-64.40682884
11,Buchanan Memorial Community Health Centre,Hospitals,Canadian Institute for Health Information,32610,cabot trail,B0C 1N0,neils harbour,ns,Victoria - Subd. A,1218006,12,46.81057,-60.334327
